"","Date","Location / Operator","Aircraft Type / Registration","Fatalities","year","month","day"
"3797","27 Aug 1985","Beale AFB, CaliforniaMilitary - U.S. Air Force","Boeing KC-135A59-1443","7/7(0)","1985","Aug","27"
"3798","30 Aug 1985","Kokoda, Papua New GuineaDouglas Airways","Britten-Norman BN-2A IslanderP2-DNW","3/5(0)","1985","Aug","30"
"3799","04 Sep 1985","Near Kandahar, AfghanistanAriana Afghan Airlines","Antonov AN-26YA-BAM","52/52(0)","1985","Sep","04"
"3800","06 Sep 1985","Milwaukee, WisconsinMidwest Express","McDonnell Douglas DC-9-14N100ME","31/31(0)","1985","Sep","06"
"3801","22 Sep 1985","AfghanistanMilitary - Soviet Air Force","Antonov AN-12?","26/26(0)","1985","Sep","22"
"3802","23 Sep 1985","Grottoes Grove, VirginiaAir Taxi - Henson Airlines","Beechcraft B99N339HA","14/14(0)","1985","Sep","23"
"3803","25 Sep 1985","Near Kharkov, UkraineMAP","Antonov An-12CCCP-69321","9/9(0)","1985","Sep","25"
"3804","29 Sep 1985","Jenkinsburg, GeorgiaAir Carriers Express Services Inc","Cessna 208 Caravan IN551CC","17/17(0)","1985","Sep","29"
"3805","04 Oct 1985","Tory Canal, New ZealandAir Albatross","Cessna 402BZK-EHT","8/9(0)","1985","Oct","04"
"3806","09 Oct 1985","Vitória da Conquista, BrazilNordeste Linhas Aéreas","Embraer 110C BandeirantePT-GKA","2/2(0)","1985","Oct","09"
"3807","10 Oct 1985","Off South Head, AustraliaPel Air","IAI 1124 WestwindVH-IWJ","2/2(0)","1985","Oct","10"
"3808","11 Oct 1985","Near Kutayissi, USSRAeroflot","Yakovlev YAK-40CCCP-87803","14/14(0)","1985","Oct","11"
"3809","11 Oct 1985","Near Beni, BoliviaSabeni","Curtiss C-46DCP-1593","2/2(0)","1985","Oct","11"
"3810","11 Oct 1985","Homer City, PennsylvaniaMountain Air Cargo","de Havilland Canada DHC-6 Twin Otter 200N3257","1/1(0)","1985","Oct","11"
"3811","12 Oct 1985","Putao, MyanmarBurma Airways","Fokker F-27 Friendship 600XY-ADS","4/4(0)","1985","Oct","12"
"3812","22 Oct 1985","Near Juneau, AlaskaAir Taxi - Jet Alaska","Learjet 24XRN456JA","4/4(0)","1985","Oct","22"
"3813","01 Nov 1985","Bethel, AlaskaAir Taxi- Hermans Air Inc.","Cessna 208N9241F","2/4(0)","1985","Nov","01"
"3814","15 Nov 1985","Dothan, AlabamaMilitary - U.S. Air Force","Convair CV-34054-2817","4/4(0)","1985","Nov","15"
"3815","16 Nov 1985","Quinhagaki, AlaskaAir Taxi","Piper PA-32-300N74DJ","4/7(0)","1985","Nov","16"
"3816","21 Nov 1985","Near Sibyak, IndonesiaMilitary - Indonesian Air Force","Lockheed C-130H HerculesA-1322","11/11(0)","1985","Nov","21"
"3817","24 Nov 1985","Luqa, MaltaEgyptAir","Boeing B-737-266SU-AYH","60/103(0)","1985","Nov","24"
"3818","25 Nov 1985","Near Luassingua, AngolaMilitary - Angolan Air Force","Antonov AN-26?","22/22(0)","1985","Nov","25"
"3819","12 Dec 1985","Gander, Newfoundland, CanadaArrow Airways","McDonnell Douglas DC-8 Super 63PFN950JW","256/256(0)","1985","Dec","12"
"3820","30 Dec 1985","NepalMilitary - Royal Nepalese Air Force","Short SC7- SkyvanRAN-23","25/25(0)","1985","Dec","30"
"3821","31 Dec 1985","De Kalb, TexasPrivate","Douglas DC-3N711Y","7/9(0)","1985","Dec","31"
"3822","18 Jan 1986","Near Peten, GuatemalaAerovias de Guatemala SA","Sud-Aviation  Caravelle VI-NHC-BAE","87/87(0)","1986","Jan","18"
"3823","21 Jan 1986","Ellendale, MinnesotaAir Taxi","Bell 296BN1498W","3/3(0)","1986","Jan","21"
"3824","28 Jan 1986","Sao Paulo, BrazilVASP","Boeing B-737-2A1PP-SME","1/72(0)","1986","Jan","28"
"3825","29 Jan 1986","Las Lomitas, MexicoAerocalifornia","Douglas DC-3A-178XA-IOR","21/21(0)","1986","Jan","29"
"3826","05 Feb 1986","Kasongo, ZaireGLM Aviation","Lockheed L-188AF Electra9Q-CWT","2/14(0)","1986","Feb","05"
"3827","16 Feb 1986","Off Makung, TaiwanChina Airlines (Taiwan)","Boeing B-737-281B-1870","13/13(0)","1986","Feb","16"
"3828","02 Mar 1986","Near Bugulma, RussiaAeroflot","Antonov AN-24BCCCP-46423","38/38(0)","1986","Mar","02"
"3829","03 Mar 1986","Bern, SwitzerlandTaxair","Cessna 425 ConquestHB-LLS","8/8(0)","1986","Mar","03"
"3830","13 Mar 1986","Alpena, MichiganSimmons Airlines","Embraer 110P1 BandeiranteN1356P","3/9(0)","1986","Mar","13"
"3831","20 Mar 1986","Near Naha, IndonesiaMerpati Nusantara Airlines","CASA 212 Aviocar 100PK-NCF","2/16(0)","1986","Mar","20"
"3832","22 Mar 1986","Jammuin, IndiaMilitary - Indian Air Force","Antonov An-32?","17/17(0)","1986","Mar","22"
"3833","24 Mar 1986","Goose Bay, Newfoundland, CanadaGoose Bay Air Services","de Havilland Canada DHC-3 OtterC-FAGM","4/5(0)","1986","Mar","24"
"3834","25 Mar 1986","Omsk, Soviet UnionMinisterstvo Obshchestvo Mashinostroyeniya","Antonov An-12APCCCP-11795","9/9(0)","1986","Mar","25"
"3835","27 Mar 1986","Bangui, Central African RepublicMilitary - French Air Force","Sepecat Jaguar A?","0/0(35)","1986","Mar","27"
"3836","30 Mar 1986","Near Pemba, MozambiqueMilitary - Mozambique Air Force","Antonov AN-26042","49/54(0)","1986","Mar","30"
"3837","31 Mar 1986","Maravatio, MexicoMexicana","Boeing B-727-264XA-MEM","167/167(0)","1986","Mar","31"
"3838","02 Apr 1986","Near Athens, GreeceTrans World Airlines","Boeing B-727N54340","4/121(0)","1986","Apr","02"
"3839","02 Apr 1986","Near Magdalena, New MexicoMilitary - U.S. Air Force","Lockheed HC-130P Hercules66-0211","11/11(0)","1986","Apr","02"
"3840","27 Apr 1986","Near Saravena, ColombiaACES Colombia","de Havilland Canada DHC-6 Twin Otter 300HK-2761","13/13(0)","1986","Apr","27"
"3841","01 May 1986","San Salvador, El SalvadorMilitary - El Salvador Air Force","Douglas DC-6FAS-302","37/37(0)","1986","May","01"
"3842","03 May 1986","Near Taipei, TaiwanMilitary - Republic of China Air Force","Bell UH-1H / Bell UH-1H (helicopters)?","22/22(0)","1986","May","03"
"3843","03 May 1986","Colombo, Sri LankaAir Lanka","Lockheed L-1011-1004R-ULD","22/150(0)","1986","May","03"
"3844","17 May 1986","Hanty-Mansijsk, Soviet UnionAeroflot","Yakovlev Yak-40CCCP-87301","5/5(0)","1986","May","17"
"3845","17 May 1986","Atlantic City, New JerseyAir Taxi - Islip Airco Inc.","Cessna 414AN414NY","2/5(0)","1986","May","17"
"3846","18 May 1986","Djibouti, DjiboutiMilitary - French Naval Aviation","Dassault Breguet Atlantique19","19/19(0)","1986","May","18"
"3847","24 May 1986","Antananarivo, MadagascarMilitary - Armée de l'Air Malgache","Douglas C-47?","13/13(0)","1986","May","24"
"3848","10 Jun 1986","Near Cairo, EgyptEgyptAir","Fokker F-27 Friendship 500SU-GAD","23/26(0)","1986","Jun","10"
"3849","12 Jun 1986","Port Ellen, Islay IslandLoganair","de Havilland Canada DHC-6 Twin Otter 300G-BGPC","1/16(0)","1986","Jun","12"
"3850","17 Jun 1986","Howard AFB, PanamaMilitary - U.S. Air Force","Boeing KC-135A63-7983","4/4(0)","1986","Jun","17"
"3851","18 Jun 1986","Grand Canyon, ArizonaGrand Canyon Airlines / Helitech","de Havilland Can. DHC-6 -300/ Bell 206BN76GC/N6TC","25/25(0)","1986","Jun","18"
"3852","22 Jun 1986","Penza,  RussiaAeroflot","Tupolev TU-134ACCCP-65142","1/59(0)","1986","Jun","22"
