"","lon","lat","lon","lat"
"107",88.4463299,22.6520429,77.211126,28.5834828
"108",37.2712341,55.599648,49.2984487,55.6085937
"109",-122.3789554,37.6213129,-122.2197428,37.7125689
"110",105.887103,21.040694,104.0337225,21.2157933
"111",-117.534812,47.6217478,-122.3018264,47.5281657
"112",-76.7794866,17.9374786,-81.3585033,19.2931436
"113",34.971707,-15.6813258,39.2069164,-6.8725389
"114",-121.9398577,38.2721187,-157.9250736,21.3245132
"115",-39.532111,-15.9692844,NA,NA
"116",-104.5189261,33.3067198,-122.2197428,37.7125689
"117",107.7006989,16.3977829,108.2025533,16.0563348
"118",77.211126,28.5834828,90.3857556,23.7705971
"119",-82.5370781,27.9834776,-90.2590112,29.9922012
"120",-7.4664015,33.5966368,-0.7103052,44.8305935
"121",-27.0869431,38.75388,-54.5756957,48.946558
"122",-1.3280892,50.8450369,-9.1353667,38.7755936
"123",9.0559675,39.2513457,12.5933595,41.8000198
"124",98.2027903,14.1001788,98.6190805,12.4476201
"125",-122.3018264,47.5281657,-104.8102739,41.1529863
"126",-0.4171726,51.5540305,-6.2193227,54.6557252
"127",12.5933595,41.8000198,NA,NA
"128",-6.2499098,53.4264481,-1.7435071,52.4523821
"129",120.5317806,18.1821053,121.6420059,18.3550839
"130",51.8763907,32.7462513,51.311241,35.6899882
"131",36.5128312,33.4112976,37.2275099,36.1845831
"132",-86.2955952,39.7168593,-84.8440753,39.7561781
"133",-64.7020333,32.359829,-82.410078,22.9915431
"134",92.0986563,58.4640571,92.4813965,56.1767877
"135",23.4071233,42.6934278,25.7128889,43.1514444
"136",12.5933595,41.8000198,35.4912043,33.8193756
"137",144.9014875,-37.7264098,151.1752764,-33.9399228
"138",-46.6565842,-23.6273246,-51.1753811,-29.9934732
"139",30.2678391,59.8029126,27.5352733,53.8711654
"140",27.5352733,53.8711654,30.2678391,59.8029126
"141",-99.0719083,19.4360762,-96.7239921,17.0013111
"142",25.8192172,-17.8252519,28.2411459,-26.1366728
"143",NA,NA,NA,NA
"144",-0.839332,51.322724,14.4832795,35.8541135
"145",NA,NA,NA,NA
"146",-50.9586457,-17.836782,-49.2163451,-16.6323026
"147",31.362747,30.095919,32.5522355,15.5927666
"148",-43.2566293,-22.805265,-58.5348284,-34.8150044
"149",14.4832795,35.8541135,20.261859,32.0836981
"150",-0.839332,51.322724,2.1932121,48.1565357
"151",-122.3789554,37.6213129,-96.8512063,32.8481029
"152",15.8552116,45.7687742,13.922265,44.897703
"153",12.5933595,41.8000198,31.3998558,30.1127092
"154",13.156667,32.669444,8.5220753,12.0456496
"155",-46.6565842,-23.6273246,-49.0531709,-22.3436866
"156",4.7682744,52.3105386,10.3675928,59.3002381
"157",NA,NA,NA,NA
"158",80.1708668,12.994112,77.211126,28.5834828
"159",-43.2566293,-22.805265,-61.339527,10.5976964
"160",8.5621518,50.0379326,13.2884374,52.5588327
"161",20.305774,44.8765011,14.4559143,46.2259433
"162",-112.0077881,33.4372686,-118.3574036,34.1983122
"163",-66.0979253,18.4557613,-73.7781391,40.6413111
"164",139.7798386,35.5493932,130.4467091,33.5903145
"165",2.437202,48.9614725,0.049518,51.5048437
"166",-3.5675982,40.4983322,-0.7103052,44.8305935
"167",120.6131128,16.3756831,NA,NA
"168",-67.0053373,10.5972583,-68.7557394,10.2786696
"169",-104.7026039,38.801712,-97.600556,35.393056
"170",-0.0064164,16.2517048,5.450833,22.811111
"171",67.1681027,24.9007815,100.6041987,13.9132602
"172",12.5933595,41.8000198,8.5621518,50.0379326
"173",7.2148214,43.6597689,2.437202,48.9614725
"174",-49.2163451,-16.6323026,-48.2309169,-18.8895413
"175",80.1708668,12.994112,79.0548173,21.0908205
"176",7.2148214,43.6597689,14.4832795,35.8541135
"177",-74.1744624,40.6895314,-80.2870509,25.7958723
"178",28.8079683,-2.3076872,15.4464454,-4.3893521
"179",-76.1101888,43.1139301,-74.1744624,40.6895314
"180",-149.8112528,61.2536352,-122.485855,47.1334474
"181",-71.0095602,42.3656132,-73.8739659,40.7769271
"182",-0.4171726,51.5540305,-6.2499098,53.4264481
"183",-81.3585033,19.2931436,-82.5465994,27.9979303
"184",NA,NA,NA,NA
"185",-79.9958864,40.4406248,-78.7295067,42.9397059
"186",129.750195,62.086467,NA,NA
"187",NA,NA,8.7255307,45.6300625
"188",44.2311592,33.267015,51.311241,35.6899882
"189",-87.9073214,41.9741625,-74.1744624,40.6895314
"190",-74.1744624,40.6895314,-82.5370781,27.9834776
"191",8.5554755,47.4582165,4.7682744,52.3105386
"192",-82.2766402,29.6863121,-82.2230207,29.1695783
"193",-98.7350079,16.8070694,-99.755607,16.762312
"194",79.0548173,21.0908205,88.4463299,22.6520429
"195",32.9916726,40.1244399,31.3998558,30.1127092
"196",82.9066012,55.0829279,73.316533,54.957801
"197",19.3908091,51.7197051,19.9758211,50.0797556
"198",140.6634789,53.149977,152.385,62.930833
"199",NA,NA,-123.2159003,44.1217811
"200",-122.2197428,37.7125689,-106.6129085,35.0433333
"201",2.3652472,48.7262433,NA,NA
"202",-89.8772182,16.9146601,NA,NA
"203",20.305774,44.8765011,21.6223532,41.963161
"204",14.4559143,46.2259433,20.291691,44.820498
"205",-128.6599094,54.050362,-123.1207375,49.2827291
"206",25.6142947,-33.9872719,31.1168871,-29.6099786
"207",49.2984487,55.6085937,60.8029485,56.7447746
"208",-99.0719083,19.4360762,-94.5779807,18.1024782
"209",NA,NA,NA,NA
"210",-43.1648755,-22.9111438,-46.6565842,-23.6273246
"211",-87.7521884,41.7867759,-84.6630165,39.0532746
"212",77.6616992,12.9556763,76.9198194,8.4834201
"213",2.8714275,42.7413357,-0.606133,35.6202476
"214",-46.6565842,-23.6273246,-43.1648755,-22.9111438
"215",-77.8451568,21.4247279,-76.7794866,17.9374786
"216",-118.40853,33.9415889,-99.0719083,19.4360762
"217",-87.9073214,41.9741625,-122.2197428,37.7125689
"218",121.6927782,63.7561788,118.354329,63.2955966
"219",-74.1744624,40.6895314,-75.2424229,39.8743959
"220",7.3230951,10.6940852,3.9750883,7.3584174
"221",-123.1815123,49.1966913,-149.8112528,61.2536352
"222",-74.1744624,40.6895314,-80.2870509,25.7958723
"223",-35.7935396,-9.5113867,-37.0726197,-10.9869881
"224",-111.9790706,40.7899404,-104.6737376,39.8560963
"225",14.5697822,45.2185704,15.8552116,45.7687742
"226",-0.1681235,5.6060955,-10.352785,6.241239
"227",-67.4684167,-45.7900714,-65.92536,-47.71997
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",8.5621518,50.0379326,11.7180172,48.1366009
"231",-40.2835346,-20.2576489,-43.1648755,-22.9111438
"232",NA,NA,-65.92536,-47.71997
"233",-49.6222176,-22.895189,-51.4176625,-22.1783402
"234",-43.1648755,-22.9111438,-34.9240154,-8.1259315
"235",-0.7103052,44.8305935,-0.534632,51.723391
"236",-81.8538669,41.4057985,-85.1884423,40.9828674
"237",NA,NA,-71.6918239,-45.9147796
"238",-80.2870509,25.7958723,-82.410078,22.9915431
"239",NA,NA,-43.1648755,-22.9111438
"240",100.6041987,13.9132602,113.9184808,22.308047
"241",-120.4477733,34.8991411,-119.8363643,34.4251139
"242",12.6507628,55.6180236,17.9427217,59.354812
"243",-67.7534435,-53.7814806,-58.5348284,-34.8150044
"244",104.3833366,52.2685014,113.307066,52.0218937
"245",-49.1724811,-25.5327132,-48.5459657,-27.670118
"246",-75.166048,8.6926801,-75.516454,10.446315
"247",-106.6129085,35.0433333,-112.0077881,33.4372686
"248",49.2984487,55.6085937,60.8029485,56.7447746
"249",113.9184808,22.308047,100.6041987,13.9132602
"250",-95.8937409,41.3018733,-96.384167,42.4025
"251",-95.8838659,36.198778,NA,NA
"252",9.7170073,4.0134386,2.1830997,13.4836537
"253",-20.2689171,63.4251286,-21.9466063,64.1318703
"254",NA,NA,-100.9341508,22.2568861
"255",2.437202,48.9614725,12.5933595,41.8000198
"256",117.8000031,-21.7833004,118.6316532,-20.378189
"257",-117.534812,47.6217478,-120.206495,47.398951
"258",-74.1744624,40.6895314,-75.2424229,39.8743959
"259",100.39122,5.4653693,116.051017,5.923076
"260",39.1392925,45.0334822,39.9413558,43.448316
"261",-87.7521884,41.7867759,-74.1744624,40.6895314
"262",-57.5815181,-37.9332052,-58.4170088,-34.5580305
"263",-123.1815123,49.1966913,-119.6052368,49.4605945
"264",-71.1616001,8.5830077,-67.0053373,10.5972583
"265",-47.7765708,-21.1391642,-46.6565842,-23.6273246
"266",-51.1379892,-23.3285795,NA,NA
"267",72.8567534,19.0931403,77.0390928,11.0304324
"268",-8.9146911,52.6996573,-54.5756957,48.946558
"269",-7.4664015,33.5966368,2.8714275,42.7413357
"270",18.520279,4.396111,39.2069164,-6.8725389
"271",46.2444807,38.1233489,51.311241,35.6899882
"272",-69.2214647,-12.6036961,-70.7538883,-13.2299025
"273",-121.8546733,39.7990924,-108.5379142,45.8035081
"274",-118.40853,33.9415889,NA,NA
"275",NA,NA,112.7872891,-7.3788851
"276",12.5933595,41.8000198,2.3652472,48.7262433
"277",87.9348222,65.7980681,86.2002911,69.4041954
"278",-111.9902266,46.6095791,-112.5075483,45.9548381
"279",31.2357116,30.0444196,6.1091564,46.2370097
"280",2.437202,48.9614725,-0.4171726,51.5540305
"281",-0.4171726,51.5540305,-4.4350529,55.8690744
"282",-7.4664015,33.5966368,3.2067834,36.6975267
"283",NA,NA,-71.6419315,10.6694118
"284",20.305774,44.8765011,15.8552116,45.7687742
"285",-108.5379142,45.8035081,-111.1606128,45.7776736
"286",-75.38538,43.141142,-74.1744624,40.6895314
"287",31.3998558,30.1127092,12.5933595,41.8000198
"288",-118.40853,33.9415889,-87.9073214,41.9741625
"289",73.316533,54.957801,60.8029485,56.7447746
"290",17.2105238,48.1702634,NA,NA
"291",-51.1753811,-29.9934732,-56.0295742,-28.6500277
"292",73.3344441,49.670833,NA,NA
"293",NA,NA,5.214414,43.4384235
"294",3.2067834,36.6975267,-0.0064164,16.2517048
"295",-43.2566293,-22.805265,-51.2176584,-30.0346471
"296",35.217392,31.863108,35.4912043,33.8193756
"297",15.7495181,-12.8031493,13.5393781,-12.3698654
"298",77.211126,28.5834828,74.7624024,34.0021758
"299",-7.5898434,33.5731104,-17.4914579,14.7442078
"300",115.9672492,-31.9385476,138.5332378,-34.9461557
"301",-73.8739659,40.7769271,-93.2222846,44.8847554
"302",67.1681027,24.9007815,50.6259871,26.2697119
"303",67.1681027,24.9007815,50.6259871,26.2697119
"304",-76.7794866,17.9374786,-71.6419315,10.6694118
"305",-66.0979253,18.4557613,-77.9105201,34.2668931
"306",-40.8630573,-14.8662434,-38.3312411,-12.9110977
"307",-76.6095925,2.4525698,-77.6756001,0.8585816
"308",16.6814425,68.4885955,18.9162637,69.6819354
"309",-78.3613938,-0.1243405,-79.8841984,-2.1480534
"310",8.5220753,12.0456496,-0.0064164,16.2517048
"311",108.051159,57.770193,-83.993889,35.810833
"312",-0.4171726,51.5540305,2.3522219,48.856614
"313",36.279988,49.92183,30.4432924,50.4119806
"314",28.8104425,40.9829888,32.8597419,39.9333635
"315",17.2105238,48.1702634,14.2631811,50.101791
"316",NA,NA,14.2631811,50.101791
"317",16.6933509,49.1522313,14.2631811,50.101791
"318",-6.2499098,53.4264481,-3.4219297,51.4094556
"319",-89.3364128,43.1390659,-93.2222846,44.8847554
"320",18.1165025,49.696961,14.2631811,50.101791
"321",NA,NA,2.3827198,6.354854
"322",34.9020493,-19.7987957,32.5748669,-25.9237188
"323",NA,NA,139.7798386,35.5493932
"324",34.8854112,32.005532,NA,NA
"325",4.7682744,52.3105386,-0.4542955,51.4700223
"326",47.4752711,-18.7993016,49.3924779,-18.109272
"327",49.2984487,55.6085937,61.503711,55.3044113
"328",-17.4914579,14.7442078,12.2462384,41.7998868
"329",80.0716107,9.7921343,78.7046725,10.7904833
"330",-122.3789554,37.6213129,-87.7521884,41.7867759
"331",2.437202,48.9614725,4.4855744,50.900999
"332",19.3908091,51.7197051,18.468075,54.3788433
"333",-99.0719083,19.4360762,-89.6604428,20.9338424
"334",74.4105177,31.5205412,67.1681027,24.9007815
"335",-76.492778,37.131667,-77.0402315,38.851242
"336",103.9492936,30.567456,110.462132,19.9385399
"337",24.0902097,45.7874451,26.0876334,44.4994607
"338",NA,NA,NA,NA
"339",-122.2197428,37.7125689,-121.5900648,38.6950854
"340",-46.6565842,-23.6273246,-49.9777202,-23.157939
"341",NA,NA,-15.9282536,23.7137404
"342",-77.0402315,38.851242,-96.8512063,32.8481029
"343",2.3652472,48.7262433,4.942278,45.728566
"344",NA,NA,NA,NA
"345",-73.1812714,7.1280895,-72.5081768,7.9271798
"346",2.0832941,41.297445,4.2220324,39.8654186
"347",4.4855744,50.900999,10.6286999,59.8995185
"348",-114.0076156,51.1215031,NA,NA
"349",18.9795645,47.4507221,18.2342148,45.9936821
"350",-73.8739659,40.7769271,-77.0402315,38.851242
"351",2.3652472,48.7262433,-25.1656641,36.9742197
"352",NA,NA,NA,NA
"353",-99.0719083,19.4360762,-100.5445522,28.6292249
"354",-43.1648755,-22.9111438,-47.5574895,-24.7069669
"355",NA,NA,-58.5348284,-34.8150044
"356",-96.7239921,17.0013111,-99.0719083,19.4360762
"357",18.468075,54.3788433,19.3908091,51.7197051
"358",96.4070703,21.9578852,NA,NA
"359",-71.388569,46.7907719,-68.2003124,49.1367101
"360",NA,NA,-105.2523762,20.6805184
"361",15.4464454,-4.3893521,27.530833,-11.591111
"362",92.4813965,56.1767877,113.307066,52.0218937
"363",36.279988,49.92183,37.412503,55.9736482
"364",-6.2193227,54.6557252,-2.2727303,53.3588026
"365",12.5933595,41.8000198,-8.9146911,52.6996573
"366",-74.1444969,4.7014128,-75.1380139,4.42408
"367",-71.0095602,42.3656132,-70.3096974,43.6464785
"368",-86.2379872,43.1645753,-87.896646,42.9475534
"369",-78.0665415,-1.501297,-78.5749568,-1.213156
"370",-49.2298537,-25.4028342,-48.8016851,-26.2241942
"371",-46.6565842,-23.6273246,-51.1753811,-29.9934732
"372",54.9252541,56.2674828,49.2984487,55.6085937
"373",-73.8739659,40.7769271,-75.6034614,39.6802039
"374",92.4813965,56.1767877,104.3833366,52.2685014
"375",-122.3018264,47.5281657,-87.9073214,41.9741625
"376",77.0999578,28.5561624,72.8567534,19.0931403
"377",-106.6129085,35.0433333,-118.3574036,34.1983122
"378",113.9184808,22.308047,113.3079699,23.3959079
"379",115.9672492,-31.9385476,130.877545,-12.4112158
"380",31.3998558,30.1127092,4.7682744,52.3105386
"381",-89.9791729,35.0420679,-77.0402315,38.851242
"382",NA,NA,NA,NA
"383",-66.0979253,18.4557613,-80.2786043,25.7819729
"384",24.622547,40.921427,23.9484156,37.9356467
"385",73.316533,54.957801,82.9066012,55.0829279
"386",122.9827202,14.1320161,121.016508,14.5122739
"387",2.0832941,41.297445,7.6093854,45.0867269
"388",129.750195,62.086467,108.051159,57.770193
"389",NA,NA,23.9484156,37.9356467
"390",NA,NA,7.2148214,43.6597689
"391",72.8567534,19.0931403,67.1681027,24.9007815
"392",174.6275317,-36.7904448,174.9844846,-40.9009511
"393",69.6981749,40.2192448,68.8154959,38.5486429
"394",153.509074,-28.1656448,153.1218303,-27.3942144
"395",-73.8739659,40.7769271,-54.5756957,48.946558
"396",-71.9436143,-13.5376364,-77.112036,-12.0240527
"397",121.016508,14.5122739,113.9184808,22.308047
"398",NA,NA,-131.5722199,55.036667
"399",-0.4171726,51.5540305,-4.4350529,55.8690744
"400",106.6416667,29.7191667,106.800209,26.540692
"401",-76.0050985,-9.2863581,-76.2055415,-9.8784249
"402",2.437202,48.9614725,12.6507628,55.6180236
"403",NA,NA,-77.0197212,3.8830471
"404",32.5522355,15.5927666,13.156667,32.669444
"405",13.156667,32.669444,NA,NA
"406",-73.8739659,40.7769271,-8.9146911,52.6996573
"407",-151.4909632,59.6438575,-151.2461827,60.5705454
"408",37.80285,48.015883,30.4432924,50.4119806
"409",-64.7020333,32.359829,-76.7794866,17.9374786
"410",-77.112036,-12.0240527,-73.308611,-3.784722
"411",74.842348,32.6808525,74.7624024,34.0021758
"412",6.1091564,46.2370097,14.4832795,35.8541135
