"","lon","lat"
"185",-78.7150311,42.1578412
"186",NA,NA
"187",8.7109301,45.6267441
"188",51.3889736,35.6891975
"189",-78.1677363,43.9593373
"190",-74.1744624,40.6895314
"191",4.7682744,52.3105386
"192",-82.1400923,29.1871986
"193",-98.7350079,16.8070694
"194",88.4463299,22.6520429
"195",31.2357116,30.0444196
"196",82.9066012,55.0829279
"197",19.3908091,51.7197051
"198",140.7314708,53.1423901
"199",-123.0867536,44.0520691
"200",-103.603058,35.182777
"201",2.3652472,48.7262433
"202",-89.8772182,16.9146601
"203",21.431647,41.9960421
"204",8.5554755,47.4582165
"205",-124.0511111,49.1497222
"206",29.685982,-30.537793
"207",62.0522923,56.7743358
"208",-102.8041605,21.8402547
"209",95.1104176,64.2479758
"210",-45.0859321,-23.4338382
"211",-87.7521884,41.7867759
"212",77.6616992,12.9556763
"213",2.6501603,39.5696005
"214",-46.6565842,-23.6273246
"215",-76.8099041,18.0178743
"216",-99.133333,19.419444
"217",-122.2197428,37.7125689
"218",121.6927782,63.7561788
"219",-74.1744624,40.6895314
"220",7.3230951,10.6940852
"221",-135.33,57.0530556
"222",-77.4781124,37.5365776
"223",-37.0726197,-10.9869881
"224",-105.084423,40.5852602
"225",14.442176,45.3270631
"226",-9.983442,6.978884
"227",-65.92536,-47.71997
"228",155.8,62.533333
"229",168.3273245,-17.7332512
"230",13.00033,47.62883
"231",-43.2763246,-22.7538823
"232",-65.92536,-47.71997
"233",-50.8959841,-22.2308034
"234",-35.7089492,-9.6498487
"235",-0.7103052,44.8305935
"236",-85.1393513,41.079273
"237",-71.6286831,-46.548735
"238",-119.4179324,36.778261
"239",-43.1544605,-22.8115667
"240",114.2666667,22.2166667
"241",-120.0620888,34.5336004
"242",17.9427217,59.354812
"243",-67.7534435,-53.7814806
"244",33.1918115,53.3625929
"245",-48.5459657,-27.670118
"246",-72.762546,11.066345
"247",-112.0077881,33.4372686
"248",60.8029485,56.7447746
"249",114.1910696,22.2587586
"250",-96.4049408,42.4963416
"251",-95.992775,36.1539816
"252",9.2632243,4.1559658
"253",-21.9684626,64.0291054
"254",-100.9855409,22.1564699
"255",11.7954132,42.0924239
"256",117.8000031,-21.7833004
"257",-117.8777335,47.6696057
"258",-75.2424229,39.8743959
"259",NA,NA
"260",39.0806454,44.106518
"261",-87.7521884,41.7867759
"262",-58.4323546,-34.6417274
"263",-119.5937077,49.4991381
"264",-70.7847222,9.0927778
"265",-47.8103238,-21.1704008
"266",-51.1695824,-23.3044524
"267",77.8213307,18.5740031
"268",-60.051929,46.168654
"269",2.9230164,42.4790073
"270",18.520279,4.396111
"271",NA,NA
"272",-71.9674626,-13.53195
"273",-110.7763248,43.8352104
"274",-118.1523845,33.8176974
"275",112.7872891,-7.3788851
"276",5.724524,45.188529
"277",87.9348222,65.7980681
"278",-112.5075483,45.9548381
"279",6.8651749,45.8326223
"280",-0.4542955,51.4700223
"281",-0.2463566,51.6133816
"282",-7.5898434,33.5731104
"283",-71.6419315,10.6694118
"284",15.8552116,45.7687742
"285",-108.5379142,45.8035081
"286",-75.232664,43.100903
"287",30.3333,30.4167
"288",-106.8286507,39.6552634
"289",60.8029485,56.7447746
"290",NA,NA
"291",-55.1245369,-29.5604461
"292",73.3344441,49.670833
"293",5.214414,43.4384235
"294",-0.5333333,22.5833333
"295",-51.2176584,-30.0346471
"296",35.862285,33.854721
"297",14.1930918,-12.3374942
"298",75.6421121,32.2643375
"299",-7.5898434,33.5731104
"300",115.973,-31.9
"301",-86.4541894,42.1167065
"302",50.6259871,26.2697119
"303",50.6259871,26.2697119
"304",-72.851515,10.886123
"305",-80.6081089,28.0836269
"306",-39.0463797,-14.7935051
"307",-77.285787,1.2058837
"308",16.5020826,68.8221937
"309",-78.9146798,-1.3005148
"310",-0.3654204,11.7863324
"311",112.9647762,58.6939642
"312",0.573453,50.854259
"313",30.5234,50.4501
"314",32.8597419,39.9333635
"315",11.9486111,48.322498
"316",11.9486111,48.322498
"317",11.9486111,48.322498
"318",-3.5221746,51.4491338
"319",-93.2222846,44.8847554
"320",17.2309642,50.0830693
"321",2.3827198,6.354854
"322",33.0158333,-25.4144444
"323",139.7798386,35.5493932
"324",34.8854112,32.005532
"325",3.515625,56.511018
"326",49.3957836,-18.1442811
"327",60.8029485,56.7447746
"328",-17.4914579,14.7442078
"329",NA,NA
"330",-87.7521884,41.7867759
"331",2.4970711,48.9412151
"332",14.761109,55.062873
"333",-97.1036396,18.8504744
"334",67.775756,24.8538097
"335",-77.0402315,38.851242
"336",110.198286,20.044412
"337",20.3968584,44.81228
"338",103.834303,36.061089
"339",-122.2566367,38.1040864
"340",-49.755903,-23.200919
"341",-15.9282536,23.7137404
"342",-96.8512063,32.8481029
"343",5.004265,45.586267
"344",106.4435319,22.4220178
"345",-72.9666667,7.5666667
"346",4.2220324,39.8654186
"347",10.6286999,59.8995185
"348",-114.0076156,51.1215031
"349",18.2342148,45.9936821
"350",-77.0402315,38.851242
"351",-25.4970466,37.780411
"352",67.1681027,24.9007815
"353",-100.973678,25.4383234
"354",-47.5574895,-24.7069669
"355",-58.4002084,-34.5797428
"356",-98.6279013,19.0224223
"357",16.9153649,58.7890201
"358",96.4024118,21.9766128
"359",-70.635882,47.201178
"360",-105.3265801,20.3198397
"361",15.2662931,-4.4419311
"362",106.6524453,52.0612241
"363",36.3222796,51.3340696
"364",-2.2727303,53.3588026
"365",-8.7854143,53.9219714
"366",-74.341776,4.732618
"367",-70.3096974,43.6464785
"368",-87.9064736,43.0389025
"369",-78.5788601,-1.3214443
"370",-48.8452269,-26.2834213
"371",-50.3588549,-28.8839151
"372",52.3721038,55.7185054
"373",-74.651754,40.1219081
"374",99.024836,54.9019282
"375",-122.3018264,47.5281657
"376",72.8567534,19.0931403
"377",-118.61481,34.2506356
"378",113.9184808,22.308047
"379",115.973,-31.9
"380",16.8718715,41.1171432
"381",-89.9791729,35.0420679
"382",NA,NA
"383",-66.0979253,18.4557613
"384",23.7275388,37.9838096
"385",82.9066012,55.0829279
"386",122.9550349,14.099578
"387",7.686864,45.0703393
"388",108.1240863,57.7746006
"389",23.9484156,37.9356467
"390",7.20958,43.66484
"391",72.7967643,19.1973487
"392",174.9844846,-40.9009511
"393",NA,NA
"394",153.509074,-28.1656448
"395",-54.5756957,48.946558
"396",-71.9436143,-13.5376364
"397",114.192803,22.2884683
"398",-131.5722199,55.036667
"399",-1.482994,52.461609
"400",109.286637,25.762849
"401",-76.2432653,-9.9298454
"402",12.9551007,55.7721623
"403",-77.0197212,3.8830471
"404",13.156667,32.669444
"405",13.156667,32.669444
"406",-73.6981858,40.8256561
"407",-151.5483333,59.6425
"408",37.80285,48.015883
"409",-28.6731465,-14.5994134
"410",-72.1249383,-4.7345673
"411",75.1924755,33.4930043
"412",29.868639,31.199194
"413",-52.3306887,-31.7158227
"414",NA,NA
"415",11.7180172,48.1366009
"416",-122.3018264,47.5281657
"417",11.1504111,42.4072684
"418",-90.065918,25.304304
"419",0.4372669,41.0524377
"420",21.6963472,36.9130756
"421",NA,NA
"422",114.365341,22.3156377
"423",-74.072092,4.7109886
